DICO,NUTSI_DSG,NUTSI_COD,NUTSII_DSG,NUTSII_COD,NUTSIII_DSG,NUTSIII_COD,DISTRITO_ILHA_DSG,CONCELHO_DSG,nutsi_norm,nutsii_norm,nutsiii_norm,municipality_norm,region_norm,district_norm,MunicipalityCode,location_context,block_key,avg_rent_m2,avg_str_density,population_density,avg_price,count_listings,price_per_listing
412,CONTINENTE,1,NORTE,11,TERRAS DE TRÁS-OS-MONTES,11E,BRAGANÇA,VINHAIS,continente,norte,terras de tras-os-montes,vinhais,terras de tras-os-montes,braganca,0412,vinhais braganca,vinh,7.74,10.962962962962964,10.7,107209.6551724138,29.0,3696.8846611177173
501,CONTINENTE,1,CENTRO,16,BEIRAS E SERRA DA ESTRELA,16J,CASTELO BRANCO,BELMONTE,continente,centro,beiras e serra da estrela,belmonte,beiras e serra da estrela,castelo branco,0501,belmonte castelo branco,belm,6.66,38.98,52.3,137452.33576642335,137.0,1003.3017209227982
502,CONTINENTE,1,CENTRO,16,BEIRA BAIXA,16H,CASTELO BRANCO,CASTELO BRANCO,continente,centro,beira baixa,castelo branco,beira baixa,castelo branco,0502,castelo branco castelo branco,cast,4.0,28.04,36.8,164192.59259259258,324.0,506.7672610882487
503,CONTINENTE,1,CENTRO,16,BEIRAS E SERRA DA ESTRELA,16J,CASTELO BRANCO,COVILHÃ,continente,centro,beiras e serra da estrela,covilha,beiras e serra da estrela,castelo branco,0503,covilha castelo branco,covi,4.43,75.32727272727273,83.5,174273.40206185568,970.0,179.66330109469658
504,CONTINENTE,1,CENTRO,16,BEIRAS E SERRA DA ESTRELA,16J,CASTELO BRANCO,FUNDÃO,continente,centro,beiras e serra da estrela,fundao,beiras e serra da estrela,castelo branco,0504,fundao castelo branco,fund,4.14,33.1,38.5,142916.23622047243,381.0,375.1082315497964
505,CONTINENTE,1,CENTRO,16,BEIRA BAIXA,16H,CASTELO BRANCO,IDANHA-A-NOVA,continente,centro,beira baixa,idanha-a-nova,beira baixa,castelo branco,0505,idanha-a-nova castelo branco,idan,8.248750000000001,11.792857142857143,6.0,127995.44915254238,118.0,1084.7071962079863
506,CONTINENTE,1,CENTRO,16,BEIRA BAIXA,16H,CASTELO BRANCO,OLEIROS,continente,centro,beira baixa,oleiros,beira baixa,castelo branco,0506,oleiros castelo branco,olei,11.32,10.372727272727273,10.4,164473.15789473685,19.0,8656.481994459835
507,CONTINENTE,1,CENTRO,16,BEIRA BAIXA,16H,CASTELO BRANCO,PENAMACOR,continente,centro,beira baixa,penamacor,beira baixa,castelo branco,0507,penamacor castelo branco,pena,15.19,30.139999999999997,8.5,97337.94039735099,151.0,644.6221218367615
508,CONTINENTE,1,CENTRO,16,BEIRA BAIXA,16H,CASTELO BRANCO,PROENÇA-A-NOVA,continente,centro,beira baixa,proenca-a-nova,beira baixa,castelo branco,0508,proenca-a-nova castelo branco,proe,16.32,16.240000000000002,17.9,150301.96078431373,51.0,2947.0972702806616
509,CONTINENTE,1,CENTRO,16,MÉDIO TEJO,16I,CASTELO BRANCO,SERTÃ,continente,centro,medio tejo,serta,medio tejo,castelo branco,0509,serta castelo branco,sert,3.93,28.236363636363638,33.4,146273.1543624161,149.0,981.699022566551
510,CONTINENTE,1,CENTRO,16,MÉDIO TEJO,16I,CASTELO BRANCO,VILA DE REI,continente,centro,medio tejo,vila de rei,medio tejo,castelo branco,0510,vila de rei castelo branco,vila,8.248750000000001,15.75,18.0,149900.0,42.0,3569.0476190476193
511,CONTINENTE,1,CENTRO,16,BEIRA BAIXA,16H,CASTELO BRANCO,VILA VELHA DE RÓDÃO,continente,centro,beira baixa,vila velha de rodao,beira baixa,castelo branco,0511,vila velha de rodao castelo branco,vila,8.248750000000001,10.66,10.7,95710.0,50.0,1914.2
601,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,ARGANIL,continente,centro,regiao de coimbra,arganil,regiao de coimbra,coimbra,0601,arganil coimbra,arga,8.1475,33.373333333333335,34.0,160981.25,80.0,2012.265625
602,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,CANTANHEDE,continente,centro,regiao de coimbra,cantanhede,regiao de coimbra,coimbra,0602,cantanhede coimbra,cant,9.280000000000001,54.25333333333333,89.3,176745.57777777777,360.0,490.9599382716049
603,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,COIMBRA,continente,centro,regiao de coimbra,coimbra,regiao de coimbra,coimbra,0603,coimbra coimbra,coim,7.4399999999999995,283.3157894736842,453.4,236080.3026755853,1794.0,131.59437161403864
604,CONTINENTE,1,CENTRO,16,REGIÃO DE COIMBRA,16E,COIMBRA,CONDEIXA-A-NOVA,continente,centro,regiao de coimbra,condeixa-a-nova,regiao de coimbra,coimbra,0604,condeixa-a-nova coimbra,cond,5.27,56.3625,126.6,208743.29004329004,231.0,903.6506062480088
